Client,Fund,Loss
Client 1-1,Fund 3,0.0
Client 1-1,Fund 4,135500.0
Client 1-2,Fund 11,0.0
Client 1-2,Fund 15,4980.0
Client 1-2,Fund 16,0.0
Client 1-2,Fund 17,4403.9800000000005
Client 1-2,Fund 20,1660.0000000000002
Client 1-2,Fund 21,315.41
Client 1-2,Fund 22,49019.01
Client 1-2,Fund 23,0.0
Client 1-2,Fund 33,0.0
Client 1-2,Fund 34,0.0
Client 1-2,Fund 35,0.0
Client 1-2,Fund 36,13780.0
Client 1-2,Fund 37,0.0
Client 1-2,Fund 38,81300.0
Client 1-2,Fund 39,0.0
Client 1-2,Fund 41,0.0
Client 1-2,Fund 42,0.0
Client 1-2,Fund 47,0.0
Client 1-2,Fund 48,0.0
Client 1-2,Fund 50,0.0
Client 1-2,Fund 51,0.0
Client 1-2,Fund 52,0.0
Client 1-2,Fund 53,0.0
Client 1-2,Fund 54,0.0
Client 1-2,Fund 55,0.0
Client 1-2,Fund 56,0.0
Client 1-2,Fund 57,57874.950000000004
Client 1-2,Fund 58,0.0
Client 1-2,Fund 60,0.0
Client 1-2,Fund 63,0.0
Client 1-2,Fund 64,0.0
Client 1-2,Fund 65,0.0
Client 1-2,Fund 69,0.0
Client 1-2,Fund 7,0.0
Client 1-2,Fund 70,0.0
Client 1-2,Fund 72,0.0
Client 1-2,Fund 8,0.0
Client 2,Fund 100,0.0
Client 2,Fund 102,0.0
Client 2,Fund 103,0.0
Client 2,Fund 104,0.0
Client 2,Fund 105,0.0
Client 2,Fund 106,0.0
Client 2,Fund 107,0.0
Client 2,Fund 110,0.0
Client 2,Fund 111,0.0
Client 2,Fund 113,0.0
Client 2,Fund 116,0.0
Client 2,Fund 119,0.0
Client 2,Fund 122,0.0
Client 2,Fund 125,21657.84
Client 2,Fund 126,12352.724200000002
Client 2,Fund 127,0.0
Client 2,Fund 129,6625.06
Client 2,Fund 130,0.0
Client 2,Fund 131,0.0
Client 2,Fund 135,2028.52
Client 2,Fund 138,0.0
Client 2,Fund 139,0.0
Client 2,Fund 140,0.0
Client 2,Fund 145,0.0
Client 2,Fund 146,0.0
Client 2,Fund 147,0.0
Client 2,Fund 148,0.0
Client 2,Fund 149,0.0
Client 2,Fund 150,0.0
Client 2,Fund 157,0.0
Client 2,Fund 158,7749.39
Client 2,Fund 159,838.3000000000001
Client 2,Fund 160,0.0
Client 2,Fund 82,0.0
Client 2,Fund 83,0.0
Client 2,Fund 84,0.0
Client 2,Fund 85,0.0
Client 2,Fund 87,0.0
Client 2,Fund 89,0.0
Client 2,Fund 90,0.0
Client 2,Fund 93,0.0
Client 2,Fund 97,0.0
Client 2,Fund 98,0.0
